,Name,Location,Open Year-Round,Handicap Accessible,Borough,Comments,geometry,Latitude,Longitude
215,Hansborough Recreation Center,35 West 134 Street,Yes,,Manhattan,,POINT (-73.9394781 40.81295069999999),40.81295069999999,-73.9394781
230,Fort Tryon Park (Anne Loftus Playground),Broadway & Dyckman Street,Yes,Yes,Manhattan,,POINT (-73.92727289999999 40.8655401),40.8655401,-73.92727289999999
231,Fort Tryon Park (Café),One Margaret Corbin Drive,No,,Manhattan,,POINT (-73.9327011 40.862507),40.862507,-73.9327011
232,Fort Tryon Park (The Cloisters),"Riverside Drive to Broadway, West 192 to Dyckman streets",Yes,,Manhattan,,POINT (-73.9266358 40.8645387),40.8645387,-73.9266358
233,Fort Washington Park (Lily Brown Playground),"West 162 Street, east of Riverside Drive",Yes,Yes,Manhattan,,POINT (-73.9377518 40.8348877),40.8348877,-73.9377518
240,Frederick Douglass Playground,West 100-101 Street Amsterdam Avenue,Yes,,Manhattan,,POINT (-73.9675438 40.7972173),40.7972173,-73.9675438
241,Frederick E. Samuel Playground,"Lenox Avenue, West 139 to West 140 streets",Yes,,Manhattan,,POINT (-73.9457292 40.8194897),40.8194897,-73.9457292
242,Frederick Johnson Park,"7 Avenue, West 150-151 streets",Yes,,Manhattan,,POINT (-73.9349482 40.8244878),40.8244878,-73.9349482
248,General Douglas MacArthur Park,East 49 Street & East River Drive,Yes,,Manhattan,,POINT (-73.9649063 40.7525358),40.7525358,-73.9649063
266,Hamilton Fish Park (Recreation Center),Between East Houston & Stanton streets,Yes,Yes,Manhattan,,POINT (-95.4235222 29.6933063),29.6933063,-95.4235222
269,Happy Warrior Playground,West 98 Street & Amsterdam Avenue,Yes,,Manhattan,,POINT (-73.96941369999999 40.7953628),40.7953628,-73.96941369999999
286,Highbridge Park (Quisqueya Playground),West 180 Street & Amsterdam Avenue,Yes,,Manhattan,,POINT (-73.93140350000002 40.8474255),40.8474255,-73.93140350000002
287,Highbridge Park (Recreation Center),"West 155 & Dyckman streets, Edgecombe & Amsterdam avenues",Yes,,Manhattan,,POINT (4.9041389 52.3675734),52.3675734,4.9041389
288,Highbridge Park (Wallenberg Playground),West 188 Street & Amsterdam Avenue,Yes,Yes,Manhattan,,POINT (-73.9277036 40.8524934),40.8524934,-73.9277036
289,Highbridge Park-Wallenberg Playground,W 189 St & Amsterdam Ave,,Yes,Manhattan,,POINT (-73.92725759999999 40.8531231),40.8531231,-73.92725759999999
292,Holcombe Rucker,"West 155 Street, 8 Avenue to Harlem River Drive",Yes,,Manhattan,,POINT (-73.9346673 40.8278431),40.8278431,-73.9346673
298,Howard Bennett Playground,"West 135 to West 136 streets, Lenox to 5 avenues",Yes,,Manhattan,,POINT (-73.2848762 42.35646089999999),42.35646089999999,-73.2848762
300,Inwood Hill Park (Nature Center),Gaelic Field and Area around Salt Marsh West of Indian Road (at 218th Street),Yes,,Manhattan,,POINT (78.96288 20.593684),20.593684,78.96288
301,Inwood Hill Park (Payson Playground),Payson & Dyckman streets,Yes,,Manhattan,,POINT (-73.9289482 40.8673039),40.8673039,-73.9289482
302,Inwood Hill Park (Tennis Courts),Tennis courts & ballfields along Seaman Avenue from 207th Street to 214th Street,Yes,,Manhattan,,POINT (-73.9228573 40.868911),40.868911,-73.9228573
303,J. Hood Wright Park,"Ft. Washington & Haven avenues, West 173 Street",Yes,Yes,Manhattan,,POINT (-73.9422926 40.84214679999999),40.84214679999999,-73.9422926
306,Jackie Robinson Park,West 149 Street & Bradhurst Avenue,Yes,,Manhattan,,POINT (-73.9410549 40.8258033),40.8258033,-73.9410549
307,Jackie Robinson Park (Playground One Fifty Two CLII),West 152 Street & Bradhurst Avenue,Yes,,Manhattan,,POINT (-73.9396757 40.8276846),40.8276846,-73.9396757
308,Jackie Robinson Park (Recreation Center),"Bradhurst & Edgecombe avenues,West 145 to West 155 streets",Yes,Yes,Manhattan,,POINT (-73.9446055 40.82145990000001),40.82145990000001,-73.9446055
310,Jacob Schiff Playground (PS 192),"Amsterdam Avenue, West 136 Street",Yes,,Manhattan,,POINT (-73.9517496 40.8195823),40.8195823,-73.9517496
