,Name,Location,Open Year-Round,Handicap Accessible,Borough,Comments,geometry,Latitude,Longitude
117,Central Park (Ramble),Central Park,,,Manhattan,,,40.7825547,-73.9655834
118,"Central Park (Sheep Meadow, Mineral Springs)",Mid-park at 69th Street,No,Yes,Manhattan,,,,
119,Central Park (Tavern on The Green),Central Park,,,Manhattan,,,40.7825547,-73.9655834
120,Central Park (Tennis Courts),93d Street near the West Drive,Yes,,Manhattan,,,,
121,Central Park (The Great Hill),West Side from 103rd to 107th streets,No,,Manhattan,,,,
122,Central Park (The Metropolitan Museum of Art),Fifth Avenue at 82nd Street,Yes,,Manhattan,,,40.7789583,-73.9623045
123,Central Park (West 61st),"West Drive, Central Park West, & 65th Street Transverse",No,,Manhattan,,,40.7825547,-73.9655834
124,Central Park (Wollman Rink),Center Drive to East Drive (including Gapstow Bridge),Yes,Yes,Manhattan,,,40.7669315,-73.97380989999999
125,Central Park Delacorte Comfort Station,Mid-Park at 80th Street,Yes,Yes,Manhattan,,,,
128,Chelsea Park,West 27 Street & 9 Avenue,Yes,,Manhattan,,,,
129,Chelsea Recreation Center,"South of West 25 Street, 9 to 10 avenues",Yes,Yes,Manhattan,,,40.7465078,-73.9973599
130,Cherry Tree (Washington) Playground,"99 to 100 streets, 3 Avenue",Yes,,Manhattan,,,40.8314159,-73.9057289
139,Col. Charles Young Playground,West 144 Street & Lenox Avenue,Yes,,Manhattan,,,40.8197984,-73.9367917
141,Coleman Square Playground,Between Cherry & Monroe streets,Yes,,Manhattan,,,,
145,Columbus Park,"Baxter, Mulberry, Bayard & Worth streets",Yes,Yes,Manhattan,,,,
160,Corporal John A. Seravalli Playground,Hudson & Horatio streets,Yes,,Manhattan,,,,
174,De Witt Clinton Park,"West 52 to West 54 streets, 11 to 12 avenues",Yes,Yes,Manhattan,,,,
182,Downing Street Playground,"Downing to Carmine streets, Avenue of the Americas",Yes,,Manhattan,,,40.73054339999999,-74.0017235
187,Dry Dock Playground,"East 10 Street & Szold Place, Avenue D",No,,Manhattan,,,40.7253305,-73.9762094
190,Dyckman House Museum,Broadway & West 204 Street,Yes,,Manhattan,,,40.86702289999999,-73.9231162
193,East River Park (10th Street),Northern extreme of park,Yes,,Manhattan,,,,
194,East River Park (Tennis Courts),East River Park at Broome Street,Yes,,Manhattan,,,40.7216126,-73.9994536
195,East River Park (Track Building),East 6 Street & FDR Drive,Yes,,Manhattan,,,40.7216161,-73.9747652
196,East River Playground,"FDR Drive, East 106 to East 107 streets",Yes,,Manhattan,,,40.7887513,-73.93784509999999
215,Hansborough Recreation Center,35 West 134 Street,Yes,,Manhattan,,,,
230,Fort Tryon Park (Anne Loftus Playground),Broadway & Dyckman Street,Yes,Yes,Manhattan,,,40.8655401,-73.92727289999999
231,Fort Tryon Park (Café),One Margaret Corbin Drive,No,,Manhattan,,,40.862507,-73.9327011
232,Fort Tryon Park (The Cloisters),"Riverside Drive to Broadway, West 192 to Dyckman streets",Yes,,Manhattan,,,40.8645387,-73.9266358
233,Fort Washington Park (Lily Brown Playground),"West 162 Street, east of Riverside Drive",Yes,Yes,Manhattan,,,40.8348877,-73.9377518
240,Frederick Douglass Playground,West 100-101 Street Amsterdam Avenue,Yes,,Manhattan,,,,
241,Frederick E. Samuel Playground,"Lenox Avenue, West 139 to West 140 streets",Yes,,Manhattan,,,40.8194897,-73.9457292
242,Frederick Johnson Park,"7 Avenue, West 150-151 streets",Yes,,Manhattan,,,,
248,General Douglas MacArthur Park,East 49 Street & East River Drive,Yes,,Manhattan,,,40.7525358,-73.9649063
266,Hamilton Fish Park (Recreation Center),Between East Houston & Stanton streets,Yes,Yes,Manhattan,,,29.6933063,-95.4235222
269,Happy Warrior Playground,West 98 Street & Amsterdam Avenue,Yes,,Manhattan,,,40.7953628,-73.96941369999999
286,Highbridge Park (Quisqueya Playground),West 180 Street & Amsterdam Avenue,Yes,,Manhattan,,,40.8474255,-73.93140350000002
287,Highbridge Park (Recreation Center),"West 155 & Dyckman streets, Edgecombe & Amsterdam avenues",Yes,,Manhattan,,,52.3675734,4.9041389
288,Highbridge Park (Wallenberg Playground),West 188 Street & Amsterdam Avenue,Yes,Yes,Manhattan,,,40.8524934,-73.9277036
289,Highbridge Park-Wallenberg Playground,W 189 St & Amsterdam Ave,,Yes,Manhattan,,,40.8531231,-73.92725759999999
292,Holcombe Rucker,"West 155 Street, 8 Avenue to Harlem River Drive",Yes,,Manhattan,,,40.8278431,-73.9346673
298,Howard Bennett Playground,"West 135 to West 136 streets, Lenox to 5 avenues",Yes,,Manhattan,,,42.35646089999999,-73.2848762
300,Inwood Hill Park (Nature Center),Gaelic Field and Area around Salt Marsh West of Indian Road (at 218th Street),Yes,,Manhattan,,,20.593684,78.96288
301,Inwood Hill Park (Payson Playground),Payson & Dyckman streets,Yes,,Manhattan,,,,
302,Inwood Hill Park (Tennis Courts),Tennis courts & ballfields along Seaman Avenue from 207th Street to 214th Street,Yes,,Manhattan,,,40.868911,-73.9228573
303,J. Hood Wright Park,"Ft. Washington & Haven avenues, West 173 Street",Yes,Yes,Manhattan,,,40.84214679999999,-73.9422926
306,Jackie Robinson Park,West 149 Street & Bradhurst Avenue,Yes,,Manhattan,,,40.8258033,-73.9410549
307,Jackie Robinson Park (Playground One Fifty Two CLII),West 152 Street & Bradhurst Avenue,Yes,,Manhattan,,,40.8276846,-73.9396757
308,Jackie Robinson Park (Recreation Center),"Bradhurst & Edgecombe avenues,West 145 to West 155 streets",Yes,Yes,Manhattan,,,40.82145990000001,-73.9446055
310,Jacob Schiff Playground (PS 192),"Amsterdam Avenue, West 136 Street",Yes,,Manhattan,,,40.8195823,-73.9517496
311,James J. Walker Park (Carmine Recreation Center),"Hudson, Leroy, Clarkson Streets, 7 Avenue",Yes,,Manhattan,,,,
315,John Jay Park & Pool,East 76-East 78 streets & Cherokee Place,Yes,,Manhattan,,,40.7749373,-73.9615086
342,Little Flower Playground,Madison Street opposite Jefferson Street,No,Yes,Manhattan,,,,
361,Marcus Garvey Park (Pelham Fritz Recreation Center),18 Mount Morris Park West,Yes,,Manhattan,,,40.8050169,-73.945272
362,Marcus Garvey Park (Pool),"Madison Avenue, East 120 to East 124 streets",No,,Manhattan,,,43.6724223,-79.4048503
369,Martin Luther King Houses,"Lenox Avenue, West 113 to West 114 streets",Yes,,Manhattan,,,40.8000798,-73.9510414
374,May Matthews Playground,West 45 Street between 9 & 10 avenues,Yes,,Manhattan,,,,
376,McCaffrey Playground,"West 43 Street, 8 & 9 avenues",Yes,,Manhattan,,,,
381,McKinley Playground,"Avenue A, East 3-East 4 streets",No,,Manhattan,,,,
392,Morningside Park,West 123 Street & Morningside Avenue,Yes,Yes,Manhattan,,,40.8100943,-73.95500200000001
393,Morningside Park,"Athletic Fields and Lawns from 114th Street to 110th Street along Manhattan Avenue, East of Upper Path",Yes,,Manhattan,,,40.7987824,-73.9537155
394,Morningside Playground,West 117 Street & Morningside Avenue,Yes,,Manhattan,,,40.8063216,-73.9577555
397,Msgnr. Kett,West 204 Street & Nagle Avenue,Yes,,Manhattan,,,40.8631267,-73.9206234
413,Orville & Wilbur Playground,West 156 Street & St. Nicholas Avenue,Yes,,Manhattan,,,,
436,Playground 70,West End Avenue & West 70 Street,Yes,Yes,Manhattan,,,40.778487,-73.9854529
439,Playground Ninety Six (XCVI),"2 Avenue, East 96 to East 97 streets",Yes,,Manhattan,,,,
442,Poor Richard's Playground,East 109 Street between 2 & 3 avenues,Yes,,Manhattan,,,,
455,PS 155 Playground,"East 117 to East 118 streets, 1 to 2 avenues",Yes,,Manhattan,,,38.912984,-94.5796589
472,Renaissance Playground,"West 144 Street, between 7 & 8 avenues",Yes,,Manhattan,,,,
477,Riverside Park (Boat Basin),"Riverside Drive to Hudson River, West 59th Street to Clair Place",No,,Manhattan,,,41.8944333,-87.64948079999999
478,Riverside Park (Café),"105th Street, next to Henry Hudson Parkway",No,Yes,Manhattan,,,40.8403377,-73.9461128
479,Riverside Park (Claremont),West 124 Street & Riverside Drive,Yes,,Manhattan,,,,
480,Riverside Park (Classic Playground),72nd to 79th streets between Hudson River and Henry Hudson Parkway,Yes,,Manhattan,,,40.8403377,-73.9461128
481,Riverside Park (Dinosaur Playground),West 97 Street & Riverside Drive,Yes,,Manhattan,,,40.7966037,-73.97429199999999
482,Riverside Park (Hippo Playground),West 91 Street & Riverside Drive,Yes,,Manhattan,,,40.7927426,-73.9770935
483,Riverside Park (Neufeld Playground),West 76 Street & Riverside Drive,Yes,,Manhattan,,,40.7831908,-73.9844723
484,Riverside Park (River Run Playground),West 83 Street & Riverside Drive,Yes,,Manhattan,,,40.7876911,-73.98115899999999
485,Riverside Park (Riverbank Playground),West 142 Street & Riverside Drive,Yes,,Manhattan,,,40.8254388,-73.95370919999999
486,Riverside Park (Ten Mile River Playground),West 148 Street & Hudson River,No,,Manhattan,,,,
487,Riverside Park (Tennis Courts),Riverside Drive & West 96th Street,Yes,,Manhattan,,,40.8363942,-73.9484875
488,Robert Moses Playground,"1 Avenue, East 41 to East 42 streets",Yes,,Manhattan,,,,
500,Roger Morris Park (Morris Jumel Mansion),"Jumel Terrace to Edgecombe Avenue, West 160 to West 162 streets",Yes,,Manhattan,,,40.8338516,-73.938487
510,Sara D. Roosevelt Park,East Houston Street to Canal Street,Yes,Yes,Manhattan,,,40.7194006,-74.0018946
517,Sheltering Arms Park,"West 129 Street, Amsterdam Avenue",Yes,,Manhattan,,,40.8151174,-73.9549926
518,Sheltering Arms Park (Pool),"West 129 Street, Amsterdam Avenue",No,,Manhattan,,,40.8151174,-73.9549926
527,Sol Bloom Playground,"Columbus Avenue, West 91 to West 92 streets, Central Park West",Yes,,Manhattan,,,40.7891229,-73.96657429999999
528,Sol Lain Playground,"Broadway, Henry Street, Samuel Dickstein Place",No,,Manhattan,,,40.7594235,-73.9850933
536,St Nicholas Park South,West 129 & 7 Avenue,Yes,,Manhattan,,,40.8114894,-73.946394
539,St. Catherine's Park,"East 67-68 streets, 1 Avenue",Yes,,Manhattan,,,,
543,St. Nicholas Park,West 133 Street & St. Nicholas Avenue,Yes,,Manhattan,,,40.815687,-73.9486253
544,St. Nicholas Park,West 129 Street & St. Nicholas Terrace,Yes,,Manhattan,,,40.8135659,-73.9513226
545,St. Nicholas Park (Arlington Edinboro Playground),West 140 Street & St. Nicholas Avenue,Yes,,Manhattan,,,40.8205972,-73.9464625
546,St. Vartan Park,"East 35-East 36 streets, between 1 & 2 avenues",Yes,Yes,Manhattan,,,,
547,Stanley Isaacs,East 96-97 streets & FDR Drive,Yes,Yes,Manhattan,,,40.7872113,-73.9524539
559,Tecumseh Playground,West 77 Street & Amsterdam Avenue,Yes,,Manhattan,,,40.7818481,-73.9792787
562,Thomas Jefferson Park,"1 Avenue to FDR Drive, East 111 to East 114 streets",Yes,,Manhattan,,,40.7918763,-73.9356086
567,Tompkins Square Park,"Avenues A to B, East 7 to East 10 streets",Yes,Yes,Manhattan,,,,
574,Union Square Park,"Broadway to 4 Avenue, East 14 Street to East 17 streets",Yes,,Manhattan,,,,
586,Vesuvio Playground,Spring & Thompson streets,Yes,Yes,Manhattan,,,,
592,Wagner Pool,East 124 Street between 1 & 2 Avenues,No,,Manhattan,,,,
595,Washington Square Park Western Half,"5 Avenue, Waverly Place, West 4 & MacDougal streets.",Yes,,Manhattan,,,40.7310455,-73.9996369
601,West 59th Street Recreation Center & Pool,"West 59 to West 60 streets, Amsterdam to West End avenues",Yes,,Manhattan,,,52.3752156,4.8626985
